Address,Coordinates
"3 Omo Oba Shibajo Way, Agbede Transformer, Ita Oluwo Road, Ikorodu, Lagos, Nigeria",
"120 Lagos Road, Haruna, Ikorodu, Lagos, Nigeria",
"77 Odonla Road, Odogunyan, Ikorodu, Lagos, Nigeria",
"180 Awolowo Way, Itamaga, Ikorodu, Lagos, Nigeria",
ikeja,"(6.5960605,3.340787)"
apapa,"(6.445187,3.3683732)"
ketu,"(6.636154,3.8769831)"
ojota,"(6.5802714,3.3729679)"
"Baba Meta Street, Mojoda, Ikorodu, Lagos, Nigeria",None
"9 Muniratu Alojo Street, Off Lagos Road, Ikorodu, Lagos, Nigeria",None
