Name,Full Address,Services,Cost Level,Quality Score,User Rating,City,Location_Match,Coordinates,Recommendation_Score,Route_Distance,Route_Duration,Route_Instructions
Toun Memorial Specialist Hospital,"Ikorodu, Lagos","Multispecialty Care, Surgical Services",High,4,4.0,ikorodu,1.0,"(6.622841699999999, 3.5704942)",0.8498817784631205,6.7 km,0h 13m,Estimated driving route
General Hospital Ikorodu,"T.O.S. Benson Road, Ikorodu, Lagos, Nigeria","Emergency, Maternity, Pediatrics, Cardiology, Orthopedics, Radiology, Blood Bank, Dental",Low,3,3.5,ikorodu,1.0,"(6.5244, 3.3792)",0.8498817784631205,,,N/A
Aruna Ogun Memorial Specialist Hospital,"3/4 Bamimosu Street, Ebute, Ikorodu","Surgical Services, Pediatric Care",Medium,4,4.0,ikorodu,1.0,"(6.603073299999999, 3.494661)",0.461111111111113,2.5 km,0h 5m,Estimated driving route
